epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,4980.95,0.82456,0.76071,1.27115,0.78372,0.71418,0.75629,0.54254,1.092,1.11466,1.60272,0.000113873,0.000113873,0.000113873
81,5030.67,0.80284,0.7301,1.24813,0.85305,0.68396,0.75788,0.54466,1.10375,1.09781,1.60894,0.000104537,0.000104537,0.000104537
82,5077.88,0.80557,0.73029,1.25295,0.80711,0.69558,0.75515,0.54579,1.08644,1.07377,1.5964,9.55951e-05,9.55951e-05,9.55951e-05
83,5116.01,0.81012,0.74541,1.26235,0.84456,0.67958,0.75125,0.53654,1.10703,1.09561,1.62092,8.70577e-05,8.70577e-05,8.70577e-05
84,5159.42,0.80822,0.73539,1.26163,0.82165,0.66869,0.74075,0.53427,1.11237,1.15966,1.62296,7.89327e-05,7.89327e-05,7.89327e-05
85,5193.77,0.81009,0.73096,1.25515,0.8084,0.68265,0.74283,0.54444,1.11016,1.16595,1.62452,7.12282e-05,7.12282e-05,7.12282e-05
86,5228.48,0.81635,0.75648,1.26987,0.79209,0.69835,0.74594,0.54577,1.12562,1.14479,1.64105,6.39518e-05,6.39518e-05,6.39518e-05
87,5258.97,0.81456,0.72747,1.25576,0.80627,0.68582,0.74336,0.54406,1.10745,1.12743,1.62263,5.71106e-05,5.71106e-05,5.71106e-05
88,5289.07,0.79978,0.73704,1.26387,0.81466,0.68633,0.74268,0.53819,1.1126,1.12909,1.62332,5.07115e-05,5.07115e-05,5.07115e-05
89,5320.54,0.79048,0.70105,1.23833,0.79134,0.70704,0.74927,0.54656,1.10681,1.10713,1.61775,4.47606e-05,4.47606e-05,4.47606e-05
90,5351.27,0.79625,0.70894,1.24781,0.82804,0.69671,0.74911,0.54506,1.10989,1.11363,1.61806,3.9264e-05,3.9264e-05,3.9264e-05
91,5422.93,0.56931,0.44839,1.11699,0.79704,0.69536,0.72756,0.51588,1.12487,1.16001,1.62978,3.4227e-05,3.4227e-05,3.4227e-05
92,5453.62,0.5679,0.39092,1.10285,0.78541,0.68462,0.73062,0.52901,1.10708,1.14752,1.61658,2.96546e-05,2.96546e-05,2.96546e-05
93,5483.49,0.56069,0.37603,1.11059,0.7677,0.70193,0.73305,0.53201,1.09873,1.12563,1.60994,2.55513e-05,2.55513e-05,2.55513e-05
94,5512.77,0.55818,0.37051,1.10231,0.78028,0.70512,0.73745,0.53776,1.08541,1.10566,1.601,2.19212e-05,2.19212e-05,2.19212e-05
95,5542.36,0.54222,0.35986,1.09896,0.80564,0.68875,0.73908,0.53718,1.08779,1.10774,1.60528,1.87678e-05,1.87678e-05,1.87678e-05
96,5572.75,0.5458,0.36597,1.09625,0.79612,0.69971,0.73673,0.5374,1.08896,1.11847,1.60471,1.60943e-05,1.60943e-05,1.60943e-05
97,5604.7,0.54422,0.36281,1.09544,0.77969,0.70358,0.73589,0.53814,1.09327,1.11542,1.60897,1.39032e-05,1.39032e-05,1.39032e-05
98,5643.55,0.53889,0.3505,1.08421,0.76702,0.70271,0.73546,0.537,1.08121,1.11322,1.59682,1.21968e-05,1.21968e-05,1.21968e-05
99,5680.38,0.54362,0.35958,1.08801,0.78307,0.69427,0.73593,0.53862,1.08069,1.101,1.59552,1.09768e-05,1.09768e-05,1.09768e-05
100,5710.51,0.53062,0.35872,1.08208,0.8024,0.69156,0.73779,0.53933,1.08575,1.1084,1.59878,1.02443e-05,1.02443e-05,1.02443e-05
